"zoneID";"zoneType";"locationIndex";"locationName";"partner";"activateTime";"invalidateTime";"rateInfoTable.rateClassName";"rateInfoTable.dayType";"rateInfoTable.startTimeOfDay";"rateInfoTable.stopTimeOfDay";"rateInfoTable.useDayOffset";"rateInfoTable.isFloatingFrame";"rateInfoTable.minDayRange";"rateInfoTable.maxDayRange";"rateInfoTable.intervalOffset";"rateInfoTable.cumulativeResetTime";"rateInfoTable.entryStartTimeOfDay";"rateInfoTable.entryStopTimeOfDay";"rateInfoTable.exitStartTimeOfDay";"rateInfoTable.exitStopTimeOfDay";"rateInfoTable.settings.clientRate";"rateInfoTable.settings.clientRateVAT";"rateInfoTable.settings.maxDuration";"rateInfoTable.settings.granularity";"rateInfoTable.settings.isFixedPrice";"rateInfoTable.settings.isTerminalRate";"rateInfoTable.settings.comments";"rateInfoTable.settings.minDuration";"rateInfoTable.settings.startChargeMin";"rateInfoTable.settings.stopChargeMin"
"ZONE1";"O";"null";"null";"TALLINN";"1569595543";"-1";"null";"ANYDAY";"0";"2359";"0";"0";"-1";"-1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"null";"-1";"0";"0"
;;;;;;;;;;;;;;;;;;;;;".5";"0";"3600";"60";"0";"0";"null";"-1";"0";"59"
;;;;;;;;;;;;;;;;;;;;;".25";"0";"75600";"60";"0";"0";"null";"-1";"60";"1259"
;;;;;;;;;;;;;;;;;;;;;".5";"0";"82800";"60";"0";"0";"null";"-1";"1260";"1379"
;;;;;;;;;;;;;;;;;;;;;".5";"0";"86400";"60";"0";"0";"null";"-1";"1380";"1439"
;;;;;;;;;;;;;;;;;;;;;".29166667";"0";"604800";"60";"0";"0";"null";"-1";"1440";"10079"
;;;;;;;;;;;;;;;;;;;;;"0";"0";"604860";"60";"0";"1";"null";"-1";"10080";"10080"
"ZONE2";"O";"null";"null";"TALLINN";"1567666593";"-1";"null";"MONTUE";"900";"1900";"0";"0";"-1";"-1";"0";"0";"0";"0";"0";"0";;;;;;;;;;
;;;;;;;"null";"MONSAT";"900";"1900";"0";"0";"-1";"-1";"0";"0";"0";"0";"0";"0";"0";"0";"900";"60";"0";"0";"null";"-1";"0";"14"
;;;;;;;;;;;;;;;;;;;;;"0";"0";"0";"1";"0";"0";"null";"-1";"0";"0"
;;;;;;;;;;;;;;;;;;;;;".1";"0";"1200";"60";"1";"0";"null";"-1";"15";"19"
;;;;;;;;;;;;;;;;;;;;;"2";"0";"1380";"180";"0";"0";"null";"-1";"20";"22"
;;;;;;;;;;;;;;;;;;;;;"1.5";"0";"1620";"240";"0";"0";"null";"-1";"23";"26"
;;;;;;;;;;;;;;;;;;;;;"2";"0";"1800";"180";"0";"0";"null";"-1";"27";"29"
;;;;;;;;;;;;;;;;;;;;;"1.5";"0";"3000";"240";"0";"0";"null";"-1";"30";"49"
;;;;;;;;;;;;;;;;;;;;;"1.2";"0";"3600";"300";"0";"0";"null";"-1";"50";"59"
;;;;;;;;;;;;;;;;;;;;;"1.5";"0";"4320";"240";"0";"0";"null";"-1";"60";"71"
;;;;;;;;;;;;;;;;;;;;;"2";"0";"4500";"180";"0";"0";"null";"-1";"72";"74"
;;;;;;;;;;;;;;;;;;;;;"1.5";"0";"5220";"240";"0";"0";"null";"-1";"75";"86"
;;;;;;;;;;;;;;;;;;;;;"2";"0";"5400";"180";"0";"0";"null";"-1";"87";"89"
;;;;;;;;;;;;;;;;;;;;;"1.5";"0";"6840";"240";"0";"0";"null";"-1";"90";"113"
;;;;;;;;;;;;;;;;;;;;;"2";"0";"7200";"180";"0";"0";"null";"-1";"114";"119"
;;;;;;;;;;;;;;;;;;;;;"1.2";"0";"8100";"300";"0";"0";"null";"-1";"120";"134"
;;;;;;;;;;;;;;;;;;;;;"1.5";"0";"10500";"240";"0";"0";"null";"-1";"135";"174"
;;;;;;;;;;;;;;;;;;;;;"1.2";"0";"10800";"300";"0";"0";"null";"-1";"175";"179"
;;;;;;;;;;;;;;;;;;;;;"1.5";"0";"11520";"240";"0";"0";"null";"-1";"180";"191"
;;;;;;;;;;;;;;;;;;;;;"2";"0";"11700";"180";"0";"0";"null";"-1";"192";"194"
;;;;;;;;;;;;;;;;;;;;;"1.5";"0";"14100";"240";"0";"0";"null";"-1";"195";"234"
;;;;;;;;;;;;;;;;;;;;;"1.2";"0";"14400";"300";"0";"0";"null";"-1";"235";"239"
;;;;;;;;;;;;;;;;;;;;;"1.5";"0";"15120";"240";"0";"0";"null";"-1";"240";"251"
;;;;;;;;;;;;;;;;;;;;;"2";"0";"15300";"180";"0";"0";"null";"-1";"252";"254"
;;;;;;;;;;;;;;;;;;;;;"1.5";"0";"17700";"240";"0";"0";"null";"-1";"255";"294"
;;;;;;;;;;;;;;;;;;;;;"1.2";"0";"18000";"300";"0";"0";"null";"-1";"295";"299"
;;;;;;;;;;;;;;;;;;;;;"1.5";"0";"29520";"240";"0";"0";"null";"-1";"300";"491"
;;;;;;;;;;;;;;;;;;;;;"2";"0";"29700";"180";"0";"0";"null";"-1";"492";"494"
;;;;;;;;;;;;;;;;;;;;;"1.2";"0";"30000";"300";"0";"0";"null";"-1";"495";"499"
;;;;;;;;;;;;;;;;;;;;;"1.5";"0";"36000";"240";"0";"0";"null";"-1";"500";"599"
;;;;;;;;;;;;;;;;;;;;;"0";"0";"36060";"60";"0";"1";"null";"-1";"600";"600"
"ZONE3";"O";"null";"null";"TALLINN";"1567667638";"-1";"null";"BELGDAYS";"900";"1900";"0";"0";"-1";"-1";"0";"0";"0";"0";"0";"0";"0";"-1";"0";"1";"0";"0";"null";"-1";"0";"0"
;;;;;;;;;;;;;;;;;;;;;"0";"0";"36000";"60";"0";"0";"null";"-1";"0";"599"
;;;;;;;;;;;;;;;;;;;;;"0";"0";"36060";"60";"0";"1";"null";"-1";"600";"600"
